rank,score,name,displayName,displayNameEn,template,subTemplate,category,DAU_6mo,banner_monthly_yen,interstitial_monthly_yen,rewarded_monthly_yen,total_monthly_yen,total_yearly_yen,targetApp,difficulty,theme,bundleId,description
121,531,"running-log","ランニング記録","Running Log","lifestyle","tracker","Health",8640,77760,777600,155520,1010880,12130560,"Running apps ($5-10/mo)",2,"sakura-pink","com.massapp.runninglog","ランニングの距離・時間・ペースを記録"
122,531,"cigarette-tracker","禁煙カウンター","Quit Smoking Tracker","lifestyle","tracker","Health",8640,77760,777600,155520,1010880,12130560,"Quit smoking apps ($2-5)",2,"midnight-navy","com.massapp.cigarettetracker","禁煙日数・節約金額を記録"
123,531,"alcohol-tracker","お酒記録","Alcohol Tracker","lifestyle","tracker","Health",8640,77760,777600,155520,1010880,12130560,"Drink tracking apps ($2-5)",2,"earth-brown","com.massapp.alcoholtracker","飲酒量と休肝日を記録"
124,531,"caffeine-tracker","カフェイン記録","Caffeine Tracker","lifestyle","tracker","Health",8640,77760,777600,155520,1010880,12130560,"Caffeine apps ($1-3)",1,"neon-cyber","com.massapp.caffeinetracker","1日のカフェイン摂取量を管理"
125,531,"body-measurement","ボディサイズ記録","Body Measurement Log","lifestyle","tracker","Health",8640,77760,777600,155520,1010880,12130560,"Body tracker apps ($2-5)",2,"pastel-dream","com.massapp.bodymeasurement","ウエスト・ヒップ等のサイズを記録"
126,531,"growth-chart","成長記録","Growth Chart","lifestyle","tracker","Health",8640,77760,777600,155520,1010880,12130560,"Baby growth ($2-5)",2,"coral-reef","com.massapp.growthchart","子供の身長・体重の成長記録"
127,531,"blood-sugar-log","血糖値記録","Blood Sugar Log","lifestyle","tracker","Health",8640,77760,777600,155520,1010880,12130560,"Glucose apps ($3-5)",2,"earth-brown","com.massapp.bloodsugarlog","血糖値を食前食後で記録・グラフ表示"
128,523,"study-timer","勉強タイマー","Study Timer","utility","timer","Education",8512,153216,766080,38304,957600,11491200,"Forest ($3.99)",1,"sunset-purple","com.massapp.studytimer","集中時間を記録する勉強専用タイマー"
129,516,"music-quiz","音楽クイズ","Music Quiz","game","quiz","Entertainment",8406,252180,1418513,378270,2048963,24587556,"Music trivia ($1-3)",2,"monochrome","com.massapp.musicquiz","音楽の歴史・アーティストクイズ"
130,516,"sports-quiz","スポーツクイズ","Sports Quiz","game","quiz","Entertainment",8406,252180,1418513,378270,2048963,24587556,"Sports trivia ($1-3)",1,"forest-green","com.massapp.sportsquiz","スポーツの歴史・ルールクイズ"
131,516,"movie-quiz","映画クイズ","Movie Quiz","game","quiz","Entertainment",8406,252180,1418513,378270,2048963,24587556,"Movie trivia ($1-3)",1,"sunset-purple","com.massapp.moviequiz","名作映画の知識クイズ"
132,516,"emoji-quiz","絵文字クイズ","Emoji Quiz","game","quiz","Entertainment",8406,252180,1418513,378270,2048963,24587556,"Emoji quiz ($0.99-2)",1,"sakura-pink","com.massapp.emojiquiz","絵文字の組み合わせから答えを推測"
133,516,"logo-quiz","ロゴクイズ","Logo Quiz","game","quiz","Entertainment",8406,252180,1418513,378270,2048963,24587556,"Logo Quiz ($1-3)",1,"midnight-navy","com.massapp.logoquiz","企業ロゴの名前を当てるクイズ"
134,516,"true-false-quiz","マルバツクイズ","True or False Quiz","game","quiz","Entertainment",8406,252180,1418513,378270,2048963,24587556,"Trivia apps ($1-2)",1,"earth-brown","com.massapp.truefalsequiz","豆知識の○×クイズ"
135,514,"rock-paper-scissors","じゃんけん","Rock Paper Scissors","game","fortune","Games",8366,75294,1411763,376470,1863527,22362324,"RPS apps ($0.99)",1,"forest-green","com.massapp.rockpaperscissors","コンピュータとじゃんけん勝負"
136,503,"ocean-sounds","海の音","Ocean Sounds","utility","sound","Health",8192,245760,276480,147456,669696,8036352,"Sleep sounds ($2-5)",2,"neon-cyber","com.massapp.oceansounds","波の音・海辺の環境音"
137,503,"forest-sounds","森の音","Forest Sounds","utility","sound","Health",8192,245760,276480,147456,669696,8036352,"Nature sounds ($2-5)",2,"pastel-dream","com.massapp.forestsounds","小鳥のさえずり・森の環境音"
138,503,"fireplace-sounds","暖炉の音","Fireplace Sounds","utility","sound","Health",8192,245760,276480,147456,669696,8036352,"Relaxation apps ($2-5)",2,"coral-reef","com.massapp.fireplacesounds","パチパチ燃える暖炉のサウンド"
139,503,"wind-sounds","風の音","Wind Sounds","utility","sound","Health",8192,245760,276480,147456,669696,8036352,"Nature sounds ($2-5)",2,"warm-orange","com.massapp.windsounds","そよ風・強風・風鈴の音"
140,503,"river-sounds","川の音","River Sounds","utility","sound","Health",8192,245760,276480,147456,669696,8036352,"Nature sounds ($2-5)",2,"monochrome","com.massapp.riversounds","せせらぎ・滝・渓流の音"
141,503,"night-sounds","夜の音","Night Sounds","utility","sound","Health",8192,245760,276480,147456,669696,8036352,"Sleep sounds ($2-5)",2,"ocean-blue","com.massapp.nightsounds","虫の声・コオロギ・夜の環境音"
142,503,"cat-purr-sounds","猫のゴロゴロ","Cat Purr Sounds","utility","sound","Health",8192,245760,276480,147456,669696,8036352,"ASMR apps ($1-3)",2,"forest-green","com.massapp.catpurrsounds","猫のゴロゴロ音でリラックス"
143,503,"train-sounds","電車の音","Train Sounds","utility","sound","Health",8192,245760,276480,147456,669696,8036352,"ASMR apps ($1-3)",2,"sunset-purple","com.massapp.trainsounds","電車の走行音・踏切の音"
144,503,"city-sounds","都会の音","City Ambience","utility","sound","Health",8192,245760,276480,147456,669696,8036352,"Ambient sounds ($2-5)",2,"sakura-pink","com.massapp.citysounds","都会の喧騒・交通の環境音"
145,503,"binaural-beats","バイノーラルビート","Binaural Beats","utility","sound","Health",8192,245760,276480,147456,669696,8036352,"Brain.fm ($6-7/mo)",2,"neon-cyber","com.massapp.binauralbeats","集中・リラックス・睡眠用のバイノーラルビート"
146,503,"thunder-sounds","雷の音","Thunder Sounds","utility","sound","Health",8192,245760,276480,147456,669696,8036352,"Nature sounds ($2-5)",2,"mint-fresh","com.massapp.thundersounds","雷鳴・激しい雨のリラックスサウンド"
147,503,"asmr-keyboard","ASMRキーボード音","ASMR Keyboard Sounds","utility","sound","Health",8192,245760,276480,147456,669696,8036352,"ASMR apps ($1-3)",2,"coral-reef","com.massapp.asmrkeyboard","メカニカルキーボードのASMRサウンド"
148,500,"todo-list","やることリスト","Todo List","lifestyle","tracker","Productivity",8154,73386,733860,146772,954018,11448216,"Things 3 ($9.99)",2,"mint-fresh","com.massapp.todolist","シンプルなToDoリストとタスク管理"
149,500,"food-expiry","食品賞味期限管理","Food Expiry Tracker","lifestyle","tracker","Food & Drink",8154,73386,733860,146772,954018,11448216,"Expiry apps ($1-3)",1,"sakura-pink","com.massapp.foodexpiry","冷蔵庫の食品の賞味期限を管理"
150,493,"reading-tracker","読書記録","Reading Tracker","lifestyle","tracker","Education",8033,72297,722970,144594,939861,11278332,"Bookly ($5/mo)",2,"coral-reef","com.massapp.readingtracker","読んだ本・ページ数・感想を記録"
151,493,"study-planner","勉強プランナー","Study Planner","lifestyle","tracker","Education",8033,72297,722970,144594,939861,11278332,"Study planners ($2-5)",2,"ocean-blue","com.massapp.studyplanner","科目別の勉強計画と進捗を管理"
152,479,"pomodoro-timer","ポモドーロタイマー","Pomodoro Timer","utility","timer","Productivity",7815,140670,703350,35168,879188,10550256,"Forest ($3.99)",1,"warm-orange","com.massapp.pomodorotimer","25分集中+5分休憩のポモドーロテクニック"
153,474,"blood-type-fortune","血液型占い","Blood Type Fortune","game","fortune","Entertainment",7734,69606,1305113,348030,1722749,20672988,"Blood type apps (¥100-300)",1,"monochrome","com.massapp.bloodtypefortune","血液型別の今日の運勢と相性"
154,474,"kyusei-kigaku","九星気学","Nine Star Ki","game","fortune","Entertainment",7734,69606,1305113,348030,1722749,20672988,"九星気学アプリ (¥300-500)",2,"sunset-purple","com.massapp.kyuseikigaku","九星気学による方位・運勢占い"
155,474,"dream-fortune","夢占い","Dream Fortune","game","fortune","Entertainment",7734,69606,1305113,348030,1722749,20672988,"Dream interpretation ($1-3)",1,"midnight-navy","com.massapp.dreamfortune","夢の内容から運勢を占う"
156,474,"today-lucky-color","今日のラッキーカラー","Lucky Color Today","game","fortune","Entertainment",7734,69606,1305113,348030,1722749,20672988,"Fortune apps (¥100-300)",1,"neon-cyber","com.massapp.todayluckycolor","誕生日から今日のラッキーカラーを診断"
157,474,"palm-reading","手相占い","Palm Reading","game","fortune","Entertainment",7734,69606,1305113,348030,1722749,20672988,"Palm reading ($2-5)",1,"pastel-dream","com.massapp.palmreading","手相の見方と運勢を解説"
158,474,"numerology","数秘術占い","Numerology","game","fortune","Entertainment",7734,69606,1305113,348030,1722749,20672988,"Numerology apps ($2-5)",1,"mint-fresh","com.massapp.numerology","誕生日から運命数を計算して占う"
159,474,"animal-fortune","動物占い","Animal Fortune","game","fortune","Entertainment",7734,69606,1305113,348030,1722749,20672988,"動物占いアプリ (¥100-300)",1,"coral-reef","com.massapp.animalfortune","生年月日から動物タイプと性格を診断"
160,474,"fortune-cookie","フォーチュンクッキー","Fortune Cookie","game","fortune","Entertainment",7734,69606,1305113,348030,1722749,20672988,"Fortune cookie ($0.99)",1,"warm-orange","com.massapp.fortunecookie","フォーチュンクッキーを割って運勢を見る"
161,474,"biorhythm","バイオリズム","Biorhythm","game","fortune","Entertainment",7734,69606,1305113,348030,1722749,20672988,"Biorhythm ($0.99-2)",1,"ocean-blue","com.massapp.biorhythm","生年月日からバイオリズムを計算・表示"
162,474,"aura-reading","オーラ診断","Aura Reading","game","fortune","Entertainment",7734,69606,1305113,348030,1722749,20672988,"Aura apps ($1-3)",1,"forest-green","com.massapp.aurareading","質問に答えてオーラの色を診断"
163,469,"hiit-timer","HIITタイマー","HIIT Timer","utility","timer","Health",7654,137772,688860,34443,861075,10332900,"Interval Timer ($2-5)",1,"monochrome","com.massapp.hiittimer","高強度インターバルトレーニング用タイマー"
164,469,"meditation-timer","瞑想タイマー","Meditation Timer","utility","timer","Health",7654,137772,688860,34443,861075,10332900,"Meditation apps ($5-15/mo)",1,"forest-green","com.massapp.meditationtimer","ベル音付きの瞑想・マインドフルネスタイマー"
165,469,"tabata-timer","タバタタイマー","Tabata Timer","utility","timer","Health",7654,137772,688860,34443,861075,10332900,"Tabata Timer ($2-5)",1,"sakura-pink","com.massapp.tabatatimer","20秒運動+10秒休憩のタバタ式タイマー"
166,469,"brushing-timer","歯磨きタイマー","Tooth Brushing Timer","utility","timer","Health",7654,137772,688860,34443,861075,10332900,"Brushing timers ($1-2)",1,"neon-cyber","com.massapp.brushingtimer","子供も楽しめる歯磨き2分タイマー"
167,469,"plank-timer","プランクタイマー","Plank Timer","utility","timer","Health",7654,137772,688860,34443,861075,10332900,"Fitness timers ($1-3)",1,"mint-fresh","com.massapp.planktimer","プランクチャレンジ用のタイマー"
168,469,"nap-timer","昼寝タイマー","Nap Timer","utility","timer","Health",7654,137772,688860,34443,861075,10332900,"Sleep apps ($1-5)",1,"coral-reef","com.massapp.naptimer","15/20/30分の昼寝用アラームタイマー"
169,469,"interval-timer","インターバルタイマー","Interval Timer","utility","timer","Health",7654,137772,688860,34443,861075,10332900,"Interval timers ($2-5)",1,"forest-green","com.massapp.intervaltimer","運動と休憩の繰り返しタイマー"
170,469,"contraction-timer","陣痛タイマー","Contraction Timer","utility","timer","Health",7654,137772,688860,34443,861075,10332900,"Contraction timers ($1-3)",1,"sakura-pink","com.massapp.contractiontimer","陣痛の間隔と持続時間を記録"
171,469,"stretch-timer","ストレッチタイマー","Stretch Timer","utility","timer","Health",7654,137772,688860,34443,861075,10332900,"Yoga/stretch apps ($3-10)",1,"earth-brown","com.massapp.stretchtimer","部位別ストレッチのインターバルタイマー"
172,469,"gratitude-journal","感謝日記","Gratitude Journal","lifestyle","log","Health",7654,137772,688860,34443,861075,10332900,"Gratitude ($4.99/mo)",2,"ocean-blue","com.massapp.gratitudejournal","毎日の感謝を3つ書き留める日記"
173,469,"food-log","食事記録","Food Log","lifestyle","log","Health",7654,137772,688860,34443,861075,10332900,"Food diary apps ($3-10/mo)",2,"sunset-purple","com.massapp.foodlog","毎食の内容を写真付きで記録"
174,469,"skincare-log","スキンケア記録","Skincare Log","lifestyle","log","Health",7654,137772,688860,34443,861075,10332900,"Skincare apps ($2-5)",2,"ocean-blue","com.massapp.skincarelog","スキンケア製品と肌の状態を記録"
175,469,"headache-diary","頭痛ダイアリー","Headache Diary","lifestyle","log","Health",7654,137772,688860,34443,861075,10332900,"Migraine apps ($3-5)",2,"mint-fresh","com.massapp.headachediary","頭痛の頻度・強度・トリガーを記録"
176,469,"allergy-log","アレルギー記録","Allergy Log","lifestyle","log","Health",7654,137772,688860,34443,861075,10332900,"Allergy trackers ($2-5)",2,"coral-reef","com.massapp.allergylog","アレルギー症状と原因食品を記録"
177,469,"eye-exercise","目の体操","Eye Exercise","utility","timer","Health",7654,137772,688860,34443,861075,10332900,"Eye care apps ($1-3)",1,"warm-orange","com.massapp.eyeexercise","20-20-20ルールの目の休憩リマインダー"
178,469,"posture-reminder","姿勢リマインダー","Posture Reminder","utility","timer","Health",7654,137772,688860,34443,861075,10332900,"Posture apps ($2-5)",1,"monochrome","com.massapp.posturereminder","定期的に姿勢チェックをリマインド"
179,469,"breathing-exercise","呼吸エクササイズ","Breathing Exercise","utility","timer","Health",7654,137772,688860,34443,861075,10332900,"Breathe apps ($2-5)",1,"ocean-blue","com.massapp.breathingexercise","4-7-8呼吸法・ボックス呼吸のガイド"
180,469,"hydration-reminder","水分補給リマインダー","Hydration Reminder","utility","timer","Health",7654,137772,688860,34443,861075,10332900,"Water reminder ($1-3)",1,"forest-green","com.massapp.hydrationreminder","定期的に水分補給をリマインド"
181,469,"symptom-diary","症状日記","Symptom Diary","lifestyle","log","Health",7654,137772,688860,34443,861075,10332900,"Health logs ($2-5)",2,"neon-cyber","com.massapp.symptomdiary","体調・症状を日々記録して受診時に活用"
182,469,"gratitude-365","365日感謝日記","365 Day Gratitude Journal","lifestyle","log","Health",7654,137772,688860,34443,861075,10332900,"Journal apps ($3-5)",2,"pastel-dream","com.massapp.gratitude365","1年間毎日の感謝を記録する日記"
183,467,"kids-animal-sounds","どうぶつの声","Animal Sounds for Kids","utility","sound","Education",7617,228510,257074,137106,622690,7472280,"Kids animal ($0.99-2)",1,"sunset-purple","com.massapp.kidsanimalsounds","動物の鳴き声を聞いて学ぶ（幼児向け）"
184,455,"savings-tracker","貯金トラッカー","Savings Tracker","lifestyle","tracker","Finance",7427,66843,668430,133686,868959,10427508,"Loot ($2.99)",2,"mint-fresh","com.massapp.savingstracker","貯金目標と進捗を可視化"
185,455,"subscription-tracker","サブスク管理","Subscription Tracker","lifestyle","tracker","Finance",7427,66843,668430,133686,868959,10427508,"Subscription trackers ($2-5)",2,"coral-reef","com.massapp.subscriptiontracker","月額サービスの支出を一括管理"
186,455,"point-card-tracker","ポイントカード管理","Point Card Tracker","lifestyle","tracker","Finance",7427,66843,668430,133686,868959,10427508,"Points apps (¥100-300)",1,"coral-reef","com.massapp.pointcardtracker","各種ポイントカードの残高を一括管理"
187,442,"ramen-log","ラーメン記録","Ramen Log","lifestyle","log","Food & Drink",7225,130050,650250,32513,812813,9753756,"Food logs ($1-3)",2,"midnight-navy","com.massapp.ramenlog","食べたラーメンの店・味・評価を記録"
188,436,"chess-clock","チェスクロック","Chess Clock","utility","timer","Games",7118,128124,640620,32031,800775,9609300,"Chess Clock ($1-3)",1,"midnight-navy","com.massapp.chessclock","対戦ゲーム用の2人対局タイマー"
189,436,"simple-diary","シンプル日記","Simple Diary","lifestyle","log","Lifestyle",7118,128124,640620,32031,800775,9609300,"Day One ($49.99/yr)",2,"monochrome","com.massapp.simplediary","一日一言のシンプルな日記帳"
190,436,"flashcard-maker","フラッシュカード","Flashcard Maker","lifestyle","log","Education",7118,128124,640620,32031,800775,9609300,"AnkiMobile ($24.99)",2,"earth-brown","com.massapp.flashcardmaker","自作フラッシュカードで暗記学習"
191,436,"vocabulary-notebook","単語帳","Vocabulary Notebook","lifestyle","log","Education",7118,128124,640620,32031,800775,9609300,"Vocab apps ($1-5)",2,"forest-green","com.massapp.vocabularynotebook","自分だけの単語帳を作成・暗記"
192,436,"school-timetable","時間割","School Timetable","lifestyle","log","Education",7118,128124,640620,32031,800775,9609300,"Timetable apps ($1-3)",1,"neon-cyber","com.massapp.schooltimetable","学校の時間割を登録・確認"
193,430,"music-interval-trainer","音程トレーニング","Interval Trainer","game","quiz","Music",7030,210900,1186313,316350,1713563,20562756,"EarMaster ($5-10/mo)",2,"neon-cyber","com.massapp.musicintervaltrainer","音程を聞き分ける耳トレーニング"
194,430,"rhythm-trainer","リズムトレーニング","Rhythm Trainer","game","quiz","Music",7030,210900,1186313,316350,1713563,20562756,"Rhythm apps ($3-5)",2,"pastel-dream","com.massapp.rhythmtrainer","リズムパターンを聞いて再現するトレーニング"
195,430,"sight-reading-trainer","初見読譜トレーニング","Sight Reading Trainer","game","quiz","Music",7030,210900,1186313,316350,1713563,20562756,"Sight reading ($3-5)",2,"mint-fresh","com.massapp.sightreadingtrainer","楽譜を読んで音符を当てるトレーニング"
196,430,"music-note-quiz","音符クイズ","Music Note Quiz","game","quiz","Music",7030,210900,1186313,316350,1713563,20562756,"Music quiz ($1-3)",1,"coral-reef","com.massapp.musicnotequiz","音符・記号の名前を当てるクイズ"
197,417,"skincare-routine","スキンケアルーティン","Skincare Routine","lifestyle","tracker","Beauty",6820,61380,613800,122760,797940,9575280,"Skincare apps ($3-5)",2,"coral-reef","com.massapp.skincareroutine","朝晩のスキンケアルーティンを管理"
198,417,"cosmetics-expiry","化粧品使用期限管理","Cosmetics Expiry Tracker","lifestyle","tracker","Beauty",6820,61380,613800,122760,797940,9575280,"Beauty apps ($2-5)",1,"ocean-blue","com.massapp.cosmeticsexpiry","化粧品の使用期限を管理・リマインド"
199,417,"daily-routine","デイリールーティン","Daily Routine","lifestyle","tracker","Productivity",6820,61380,613800,122760,797940,9575280,"Routine apps ($3-5)",2,"ocean-blue","com.massapp.dailyroutine","朝・昼・夜のルーティンをチェックリスト管理"
200,417,"project-task-list","プロジェクトタスク","Project Tasks","lifestyle","tracker","Productivity",6820,61380,613800,122760,797940,9575280,"Task managers ($5-10/mo)",2,"forest-green","com.massapp.projecttasklist","プロジェクト別のタスクを管理"
201,417,"habit-score","習慣スコア","Habit Score","lifestyle","tracker","Productivity",6820,61380,613800,122760,797940,9575280,"Habit apps ($3-5)",2,"pastel-dream","com.massapp.habitscore","習慣の達成率をスコア化して可視化"
202,417,"screen-time-log","スマホ時間記録","Screen Time Log","lifestyle","tracker","Productivity",6820,61380,613800,122760,797940,9575280,"Screen time ($2-5)",2,"coral-reef","com.massapp.screentimelog","スマホ使用時間を自己記録・目標設定"
203,417,"morning-routine","朝活チェック","Morning Routine Checker","lifestyle","tracker","Productivity",6820,61380,613800,122760,797940,9575280,"Routine apps ($2-5)",1,"warm-orange","com.massapp.morningroutine","朝のルーティンをチェックリストで管理"
204,417,"goal-tracker","目標トラッカー","Goal Tracker","lifestyle","tracker","Productivity",6820,61380,613800,122760,797940,9575280,"Goal apps ($3-5/mo)",2,"ocean-blue","com.massapp.goaltracker","年間・月間目標の進捗を管理"
205,402,"movie-log","映画記録","Movie Log","lifestyle","log","Entertainment",6582,118476,592380,29619,740475,8885700,"Movie trackers ($2-5)",2,"earth-brown","com.massapp.movielog","観た映画の感想と評価を記録"
206,402,"game-log","ゲームプレイ記録","Game Log","lifestyle","log","Entertainment",6582,118476,592380,29619,740475,8885700,"Game trackers ($1-3)",2,"forest-green","com.massapp.gamelog","プレイしたゲームの感想・プレイ時間を記録"
207,402,"weekly-budget","週間予算管理","Weekly Budget","lifestyle","budget","Finance",6582,118476,592380,29619,740475,8885700,"YNAB ($14.99/mo)",2,"sakura-pink","com.massapp.weeklybudget","週ごとの予算を設定して支出を管理"
208,402,"couple-budget","カップル家計簿","Couple Budget","lifestyle","budget","Finance",6582,118476,592380,29619,740475,8885700,"Monarch ($14.99/mo)",2,"midnight-navy","com.massapp.couplebudget","二人の支出を合算して管理する家計簿"
209,402,"travel-budget","旅行予算管理","Travel Budget","lifestyle","budget","Finance",6582,118476,592380,29619,740475,8885700,"TripIt Pro ($49/yr)",2,"earth-brown","com.massapp.travelbudget","旅行の予算と支出を管理"
210,402,"student-budget","学生家計簿","Student Budget","lifestyle","budget","Finance",6582,118476,592380,29619,740475,8885700,"Budget apps ($2-5)",2,"neon-cyber","com.massapp.studentbudget","仕送り・バイト代の収支を管理"
211,402,"envelope-budget","封筒予算管理","Envelope Budget","lifestyle","budget","Finance",6582,118476,592380,29619,740475,8885700,"Goodbudget ($7/mo)",2,"pastel-dream","com.massapp.envelopebudget","封筒式の予算管理で使いすぎ防止"
212,402,"side-hustle-tracker","副業収入管理","Side Hustle Tracker","lifestyle","budget","Finance",6582,118476,592380,29619,740475,8885700,"Freelance trackers ($3-10)",2,"mint-fresh","com.massapp.sidehustletracker","副業の収入と経費を管理"
213,402,"wedding-budget","結婚式予算管理","Wedding Budget","lifestyle","budget","Finance",6582,118476,592380,29619,740475,8885700,"WeddingHappy ($4.99)",2,"coral-reef","com.massapp.weddingbudget","結婚式の費用を項目別に管理"
214,402,"car-expense-tracker","車の維持費記録","Car Expense Tracker","lifestyle","budget","Finance",6582,118476,592380,29619,740475,8885700,"Car expense apps ($2-5)",2,"warm-orange","com.massapp.carexpensetracker","ガソリン代・車検・保険等の車の費用を記録"
215,402,"gift-budget","プレゼント予算","Gift Budget","lifestyle","budget","Finance",6582,118476,592380,29619,740475,8885700,"WISHUPON ($1.99-14.99)",1,"monochrome","com.massapp.giftbudget","誕生日・クリスマスのプレゼント予算を管理"
216,402,"allowance-tracker","おこづかい帳","Allowance Tracker","lifestyle","budget","Finance",6582,118476,592380,29619,740475,8885700,"Kids finance ($1-3)",1,"pastel-dream","com.massapp.allowancetracker","子供のおこづかいの収支を管理"
217,402,"shopping-list","買い物リスト","Shopping List","lifestyle","log","Lifestyle",6582,118476,592380,29619,740475,8885700,"AnyList ($7.99/yr)",1,"pastel-dream","com.massapp.shoppinglist","カテゴリ別の買い物チェックリスト"
218,395,"cafe-sounds","カフェの音","Cafe Sounds","utility","sound","Productivity",6468,194040,218295,116424,528759,6345108,"Coffitivity ($1-3)",2,"mint-fresh","com.massapp.cafesounds","カフェの雑音で集中力アップ"
219,395,"fusui-guide","風水ガイド","Feng Shui Guide","game","fortune","Lifestyle",6470,58230,1091813,291150,1441193,17294316,"風水アプリ (¥300-500)",1,"sakura-pink","com.massapp.fusuiguide","風水の基本と開運インテリア配置"
220,379,"pet-tracker","ペット記録","Pet Care Tracker","lifestyle","tracker","Lifestyle",6214,55926,559260,111852,727038,8724456,"PetNote+ (¥450-750/mo)",2,"warm-orange","com.massapp.pettracker","ペットの食事・通院・体重を記録"
221,379,"plant-tracker","植物記録","Plant Tracker","lifestyle","tracker","Lifestyle",6214,55926,559260,111852,727038,8724456,"Planta ($35.99/yr)",2,"monochrome","com.massapp.planttracker","植物の水やり・肥料スケジュールを管理"
222,379,"cleaning-tracker","掃除記録","Cleaning Tracker","lifestyle","tracker","Lifestyle",6214,55926,559260,111852,727038,8724456,"Tody ($30/yr)",2,"pastel-dream","com.massapp.cleaningtracker","部屋ごとの掃除スケジュールを管理"
223,379,"birthday-tracker","誕生日管理","Birthday Tracker","lifestyle","tracker","Lifestyle",6214,55926,559260,111852,727038,8724456,"hip ($1.49/mo)",1,"warm-orange","com.massapp.birthdaytracker","家族・友人の誕生日をリマインド"
224,379,"moving-checklist","引越しチェックリスト","Moving Checklist","lifestyle","tracker","Lifestyle",6214,55926,559260,111852,727038,8724456,"Moving apps ($1-3)",1,"ocean-blue","com.massapp.movingchecklist","引越しの手続き・やることリスト"
225,379,"milestone-tracker","成長マイルストーン","Baby Milestone Tracker","lifestyle","tracker","Lifestyle",6214,55926,559260,111852,727038,8724456,"Baby milestone ($3-5)",2,"monochrome","com.massapp.milestonetracker","赤ちゃんの発達マイルストーンを記録"
226,379,"tooth-fairy-tracker","歯の記録","Tooth Fairy Tracker","lifestyle","tracker","Lifestyle",6214,55926,559260,111852,727038,8724456,"Tooth fairy ($0.99-2)",1,"earth-brown","com.massapp.toothfairytracker","乳歯が抜けた日と場所を記録"
227,379,"chore-chart","お手伝い表","Chore Chart","lifestyle","tracker","Lifestyle",6214,55926,559260,111852,727038,8724456,"Chore apps ($2-5)",1,"mint-fresh","com.massapp.chorechart","子供のお手伝いをスタンプで記録"
228,379,"pet-vaccine","ペットワクチン記録","Pet Vaccine Log","lifestyle","tracker","Lifestyle",6214,55926,559260,111852,727038,8724456,"Pet health ($2-5)",2,"earth-brown","com.massapp.petvaccine","ペットのワクチン・予防接種を記録"
229,379,"event-planner","イベントプランナー","Event Planner","lifestyle","tracker","Lifestyle",6214,55926,559260,111852,727038,8724456,"Event apps ($2-5)",2,"neon-cyber","com.massapp.eventplanner","イベントのタスク・ゲストを管理"
230,379,"stamp-rally","スタンプラリー","Stamp Rally","lifestyle","tracker","Lifestyle",6214,55926,559260,111852,727038,8724456,"Stamp apps ($0.99-2)",1,"warm-orange","com.massapp.stamprally","オリジナルスタンプラリーを作成・達成"
231,371,"lap-counter","ラップカウンター","Lap Counter","utility","counter","Health",6086,32864,328644,27387,388895,4666740,"Lap counters ($1-2)",1,"mint-fresh","com.massapp.lapcounter","周回数をカウント（プール、ランニング）"
232,371,"blood-pressure-log","血圧記録","Blood Pressure Log","utility","counter","Health",6086,32864,328644,27387,388895,4666740,"BP trackers ($2-5)",1,"ocean-blue","com.massapp.bloodpressurelog","血圧と脈拍を記録・グラフ表示"
233,371,"step-counter","歩数カウンター","Step Counter","utility","counter","Health",6086,32864,328644,27387,388895,4666740,"Pedometers ($1-3)",1,"sunset-purple","com.massapp.stepcounter","日々の歩数を記録・目標設定"
234,371,"push-up-counter","腕立て伏せカウンター","Push-Up Counter","utility","counter","Health",6086,32864,328644,27387,388895,4666740,"Push-up apps ($1-3)",1,"midnight-navy","com.massapp.pushupcounter","腕立て伏せの回数をカウント・記録"
235,371,"squat-counter","スクワットカウンター","Squat Counter","utility","counter","Health",6086,32864,328644,27387,388895,4666740,"Fitness counters ($1-3)",1,"earth-brown","com.massapp.squatcounter","スクワットの回数をカウント・記録"
236,371,"sit-up-counter","腹筋カウンター","Sit-Up Counter","utility","counter","Health",6086,32864,328644,27387,388895,4666740,"Fitness counters ($1-3)",1,"neon-cyber","com.massapp.situpcounter","腹筋の回数をカウント・記録"
237,371,"gratitude-counter","感謝カウンター","Gratitude Counter","utility","counter","Health",6086,32864,328644,27387,388895,4666740,"Gratitude ($2-5)",1,"mint-fresh","com.massapp.gratitudecounter","毎日の感謝の数をカウント"
238,369,"cooking-timer","クッキングタイマー","Cooking Timer","utility","timer","Food & Drink",6046,108828,544140,27207,680175,8162100,"Kitchen Timer ($1-3)",1,"ocean-blue","com.massapp.cookingtimer","複数の料理を同時にタイマー管理"
239,369,"presentation-timer","プレゼンタイマー","Presentation Timer","utility","timer","Productivity",6046,108828,544140,27207,680175,8162100,"Presentation Timer ($1-3)",1,"earth-brown","com.massapp.presentationtimer","プレゼン用の大画面カウントダウン"
240,369,"egg-timer","ゆでたまごタイマー","Egg Timer","utility","timer","Food & Drink",6046,108828,544140,27207,680175,8162100,"Egg Timer ($0.99)",1,"pastel-dream","com.massapp.eggtimer","半熟・固ゆでを選んでタイマー開始"
241,369,"tea-timer","お茶タイマー","Tea Timer","utility","timer","Food & Drink",6046,108828,544140,27207,680175,8162100,"Tea Timer ($0.99-2)",1,"warm-orange","com.massapp.teatimer","茶葉の種類に合わせた蒸らし時間タイマー"
